company_name,Number_of_Jobs,Average_Rating
Fresh Gravity,5,3.8
Mullers Solutions,5,3.6
Expleo,5,3.5
Adalat Ai,5,3.6
Addepar,5,3.7
Miracle Corporate Solutions,5,3.8
Feather Thread Corporation,5,4.9
Millennium Management,5,2.5
Tristha Global,5,4.3
Poshmark,5,4.0
Deloitte Consulting,5,3.6
Pracyva Consulting Services,5,2.4
Pradeepit Consulting Services,5,4.6
Aivantage Global,5,3.6
Vservice It Solutions,5,4.6
Pharmaforceiq,5,3.6
Diggibyte Technologies,5,3.4
Pharmsight,5,4.4
Pattern Technologies,5,4.3
QualityKiosk,5,3.2
Virtualace In,5,3.6
Qnance,5,3.6
Prodapt Solutions,5,3.5
Data Economy,5,4.0
Visit Health,5,3.1
Vitestork Consulting,5,4.8
Pri India It Services,5,3.6
Tech Holding,5,3.9
BNYMellonInternationalOperations(India) PrivateLim ited,5,3.6
Tellius,5,4.1
Termgrid,5,3.6
Xerago B2B,5,3.6
Mapps It Services,5,2.3
Foundation Ai,5,3.4
Xiotz,5,2.2
Xoriant,5,4.0
MSC Technology,5,4.0
MTC Pvt Ltd,5,3.6
Mactores Cognition,5,3.5
Tata Communications,5,3.8
Cornerstone India,5,3.2
Continental,5,3.7
Rategain,5,3.7
Cornerstone,5,3.28
Radiant Digital Solutions,5,3.3
Rankitright Media(opc),5,4.1
Vinove Software Services Pvt Ltd,5,3.4
R C W M A S Global,5,3.6
Criticalriver,5,2.9
Crompton Greaves Consumer Electricals,5,3.7
Russell Investments,5,3.6
Codeelan Technologies,5,3.6
Codefeast Enterprises,5,3.6
Roku,5,3.7
Commerciax Infotech,5,3.6
Colgate-Palmolive (India),5,3.9
ColumbiaSportswearCompany,5,3.4
Connectfor,5,3.4
Resilinc,5,2.9
Aarka,5,3.6
Koantek,5,3.2
Frisco Analytics,5,3.6
Frogdata,5,5.0
MAN TRUCK BUS,5,2.4
G4S,5,4.0
YO It Consulting,5,3.6
Yes Bank,5,3.7
Accely,5,3.9
Accion Labs,5,3.5
Yipitdata,5,3.8
Localization Academy,5,3.6
The Omnihire,5,3.6
Kaizen,5,3.6
Growth Jockey,5,3.4
Attero Recycling,5,4.4
Lumasense Technologies,5,3.6
Lumen Technologies,5,4.14
Lennox India Technology Centre (LITC),5,3.6
Gedu Services,5,3.6
Z2plus Placement & Security Agency Pvt. Ltd.,5,3.6
Aark Global,5,2.6
Turing Global India,5,3.24
Amh Services,5,2.38
Amherst Group,5,2.1
Velodata Global,5,3.6
Codaemon Softwares,5,3.4
Altera Corporation,5,3.6
Appzlogic,5,3.1
Bentley Systems,5,4.1
Schneider Electric,5,4.1
Sciative Solutions,5,3.8
Sarvagram Fincare,5,3.84
Savantys Solutions,5,3.6
Citco,5,3.1
"Cittabase Solutions Pvt Ltd.,",5,4.2
Taazaa Tech,5,4.0
Som Imaging Informatics,5,4.0
Softtek,5,3.8
Solytics Partners,5,3.0
Smith & Nephew,5,3.6
C5i,5,4.3
CRE Matrix,5,3.3
Cadence,5,3.9
Calpion Software Technologies Private Ltd,5,3.5
ValGenesis,5,3.0
Sia Partners,5,4.48
Intech Systems,5,3.7
Krayo,5,3.8
Global MNC,5,3.6
Globlyn Technology,5,3.6
Kanini Software Solutions,5,3.8
Graphene Ai,5,2.7
Gravitie Knowledge Services,5,3.4
Green Clover,5,3.6
KKR India Asset Finance,5,2.7
Toonsutra,5,5.0
Aspera Advisors,5,3.6
Assurex India,5,2.7
Themathcompany,5,3.1
Guidewire Software,5,4.1
Gyantu,5,3.6
Hackajob,5,3.6
AMS,5,3.6
Interview Kickstart,5,3.8
AI Fund,5,3.6
Baxter,5,3.8
IT MNC,5,3.6
10decoders,5,2.4
rigbot.com,5,4.3
Big Data Exchange,5,3.6
TALENTPULL AND INFRASTRUCTURE PRIVATE LIMITED,5,3.6
Apex Engineering Solutions,5,3.6
Apphienz,5,3.6
Applyboard,5,2.5
Total Automation Solutions - Healthosphere,5,3.9
IT Industry,5,3.6
66degrees,4,3.4
tekskills,4,3.6
360 Degree Cloud Technologies,4,3.8
IT Services & Consulting,4,3.6
A Global Giant,4,3.6
IT,4,3.6
Ignitho,4,3.2
Im24x7 Delta Solutions,4,2.4
Indo French Chamber of Commerce and Industry (IFCCI),4,3.6
eBay,4,3.6
Infusemedia,4,3.0
Indus Valley Partners,4,2.8
Indusa,4,4.9
Innominds Software,4,3.2
Home Credit,4,4.0
A.P. Moller Maersk,4,3.9
AArete,4,4.1
Uber,4,4.1
Ujjivan Small Finance Bank,4,4.0
Ultahost,4,3.6
Umanist India,4,3.6
syniti,4,4.4
Here Technologies,4,3.7
Tpgi,4,3.6
ags,4,3.6
ADA Global,4,4.0
ADROITENT,4,3.4
Haleon,4,3.5
Integrated Personnel Services,4,3.6
Harjai Computers,4,3.6
HashedIn,4,3.9
Iron Mountain,4,3.7
HT Digital Streams,4,2.7
Zivanta Analytics,4,4.1
Jean Martin Systems,4,3.9
Jet2 Travel Technologies,4,3.3
Jio Institute,4,4.2
Kalam Academy,4,4.7
Jrk Infotech,4,4.1
Jubilant FoodWorks (JFL),4,3.7
GroundTruth Careers,4,3.3
KP Group,4,4.2
KPMG India,4,3.45
Toast,4,3.9
Aspire Systems,4,3.8
Think 360,4,3.9
"Key Management Group, Inc.",4,3.4
Group Bayport,4,4.2
Keysight Technologies,4,3.8
Zentek Infosoft,4,3.9
Systechnosoft Technologies,4,3.6
Systems Plus Solutions Pvt Ltd,4,4.2
Apollo Global Management,4,3.1
Golden Management Services,4,3.6
Atlas,4,3.5
Konkem Industries,4,4.0
Konrad Technologies,4,3.6
Kosqu Technolabs,4,3.6
Asite Solutions,4,3.1
Geekyants,4,3.3
General Mills,4,3.97
Krish Technolabs,4,3.9
Glance,4,3.4
Glencore,4,3.5
Learntastic,4,3.0
Legistify,4,2.3
Yotta Infrastructure,4,3.7
Stride India,4,3.6
GIG Consultants,4,3.6
Lofty Technologies,4,2.8
Louis Dreyfus Company,4,3.8
Love In Store,4,4.0
GAC Solutions,4,3.8
Fusionpact Technologies,4,4.7
The Art Of Living Human Resources,4,3.6
Trigent Software,4,3.6
Arise Solution,4,3.6
Magic Finserv A Unit Of Magic Software,4,3.4
Majulah Infotech,4,4.0
Manpowergroup Services India,4,3.6
Mantras2Success Consultants,4,3.6
Ford,4,4.1
Blue Planet Solutions,4,3.0
Blue Yonder,4,3.6
Unified Infotech,4,4.2
Masters Union,4,2.9
Xenon7,4,3.6
Wsp Consultants,4,4.1
Wynploy,4,3.6
Xebia Academy Global,4,3.6
Mercados Energy Markets,4,3.3
Metabase,4,3.6
Mckinsol Consulting,4,2.5
Medhavi Skills University,4,4.2
Microchip Technology,4,3.8
Millennium Organisation,4,4.3
Firstcall Hresource,4,3.6
Medreview,4,3.6
Medusind,4,3.4
Meeden Labs,4,3.6
Megalog Softwares,4,3.6
Antino Labs,4,2.9
Aon,4,3.8
Stalwart Themius,4,3.6
Steady Rabbit,4,3.9
